"year","month","area","boat","nominal"
2013,8,2,8,63999998.1646857
2013,8,2,9,63999999.1876936
2013,8,2,10,64000002.9171396
2013,9,1,1,0.986335686409238
2013,9,2,2,73000001.1894526
2013,9,2,3,72999997.0438256
2013,9,1,4,0.449101664733971
2013,9,2,5,72999998.79334
2013,9,2,6,72999998.5893964
2013,9,1,7,0
2013,9,2,8,72999999.4968939
2013,9,2,9,73000001.020678
2013,9,2,10,72999999.9555961
2013,10,1,1,0
2013,10,2,2,82000002.9924759
2013,10,2,3,82000000.7827446
2013,10,1,4,0
2013,10,2,5,82000000.0636504
2013,10,2,6,81999997.2380049
2013,10,1,7,0
2013,10,2,8,82000001.1036665
2013,10,2,9,82000000.0640392
2013,10,2,10,81999998.4450515
2013,11,1,1,0
2013,11,2,2,91000003.427
2013,11,2,3,91000000.1054951
2013,11,1,4,1.44700848603819
2013,11,2,5,91000002.905819
2013,11,2,6,90999999.1148376
2013,11,1,7,0.731523525276143
2013,11,2,8,91000000.4801071
2013,11,2,9,90999998.6076977
2013,11,2,10,90999996.4327305
2013,12,1,1,0
2013,12,2,2,99999994.8678401
2013,12,2,3,99999999.4600665
2013,12,1,4,0
2013,12,2,5,99999999.7471418
2013,12,2,6,99999999.9334636
2013,12,1,7,0
2013,12,2,8,100000001.48647
2013,12,2,9,99999999.7043329
2013,12,2,10,100000000.815584
2014,1,2,1,2000000.85819135
2014,1,2,2,2000001.38556009
2014,1,1,3,1.18394927214232
2014,1,2,4,2000001.54503553
2014,1,2,5,2000000.82958353
2014,1,1,6,0
2014,1,2,7,1999997.47435003
2014,1,1,8,3.0306688217951
2014,1,2,9,1999997.33416353
2014,1,1,10,0
2014,2,2,1,19999999.8130745
2014,2,2,2,19999997.6751727
2014,2,1,3,1.72676796307539
2014,2,2,4,20000000.9089275
2014,2,2,5,19999998.3121
2014,2,1,6,2.24562238723796
2014,2,2,7,20000002.5874121
2014,2,1,8,0.373353982693477
2014,2,2,9,19999997.4899952
2014,2,1,10,0.0345554736382977
2014,3,2,1,38000002.0113524
2014,3,2,2,38000000.3045918
2014,3,1,3,0.907849540327465
2014,3,2,4,37999995.5090612
2014,3,2,5,38000000.2307349
2014,3,1,6,0.656450589929047
2014,3,2,7,37999996.7991149
2014,3,1,8,0
2014,3,2,9,37999998.1215856
2014,3,1,10,0.472029700816328
2014,4,2,1,55999999.1793235
2014,4,2,2,55999999.4405363
2014,4,1,3,0.79087549117744
2014,4,2,4,55999996.4616647
2014,4,2,5,55999999.0284262
2014,4,1,6,1.30512806600104
2014,4,2,7,56000001.3305503
2014,4,1,8,0
2014,4,2,9,55999996.3962967
2014,4,1,10,0
2014,5,2,1,74000002.244326
2014,5,2,2,73999997.4201672
2014,5,1,3,0
2014,5,2,4,74000000.7260468
2014,5,2,5,74000000.7705553
2014,5,1,6,0
2014,5,2,7,73999998.8988305
2014,5,1,8,1.50941854086892
2014,5,2,9,73999998.5126028
2014,5,1,10,0
2014,6,2,1,92000000.003956
2014,6,2,2,91999999.4881991
2014,6,1,3,0
2014,6,2,4,92000000.5206897
2014,6,2,5,91999999.7217788
2014,6,1,6,1.86794991518752
2014,6,2,7,92000003.0636626
2014,6,1,8,0
2014,6,2,9,92000000.5568311
2014,6,1,10,0
2014,7,2,1,109999996.403691
2014,7,2,2,110000000.415684
2014,7,1,3,0.276175899426217
2014,7,2,4,110000000.006809
2014,7,2,5,109999994.060749
2014,7,1,6,2.41045160663391
2014,7,2,7,109999998.056449
2014,7,1,8,0
2014,7,2,9,109999999.521197
2014,7,1,10,1.22701416419985
2014,8,2,1,128000000.938534
2014,8,2,2,127999998.611045
2014,8,1,3,0
2014,8,2,4,128000000.134792
2014,8,2,5,128000000.659788
2014,8,1,6,0
2014,8,2,7,128000000.614411
2014,8,1,8,3.90373015760957
2014,8,2,9,128000001.211803
2014,8,1,10,0.482920333973514
2014,9,2,1,145999999.260765
2014,9,2,2,146000002.004853
2014,9,1,3,0
2014,9,2,4,145999999.915571
2014,9,2,5,146000000.927004
2014,9,1,6,2.05954335950584
2014,9,2,7,146000003.470748
2014,9,1,8,1.2577339735363
2014,9,2,9,146000001.193884
2014,9,1,10,0
2014,10,2,1,164000002.096901
2014,10,2,2,164000000.736248
2014,10,1,3,0
2014,10,2,4,164000001.939919
2014,10,2,5,163999995.904648
2014,10,1,6,0.880627837284873
2014,10,2,7,164000001.71093
2014,10,1,8,0
2014,10,2,9,163999999.580834
2014,10,1,10,0
2014,11,2,1,182000000.134678
2014,11,2,2,181999998.707918
2014,11,1,3,0
2014,11,2,4,181999999.476256
2014,11,2,5,182000002.876644
2014,11,1,6,0
2014,11,2,7,181999998.182259
2014,11,1,8,0
2014,11,2,9,181999999.369409
2014,11,1,10,3.62103637371965
2014,12,2,1,200000001.588865
2014,12,2,2,200000003.521728
2014,12,1,3,0.200057569762877
2014,12,2,4,200000001.74343
2014,12,2,5,200000001.51936
2014,12,1,6,3.53961036189089
2014,12,2,7,199999997.600014
2014,12,1,8,0
2014,12,2,9,200000000.817907
2014,12,1,10,1.25069873364917
2015,1,2,1,2999998.35177769
2015,1,2,2,2999999.97755345
2015,1,2,3,3000001.66728078
2015,1,2,4,2999997.36093629
2015,1,2,5,3000002.81509226
2015,1,2,6,3000000.27047665
2015,1,1,7,3.14429541177982
2015,1,2,8,2999998.86653199
2015,1,2,9,3000000.30391656
2015,1,1,10,0
2015,2,2,1,29999997.8818496
2015,2,2,2,29999999.0524066
2015,2,2,3,30000001.0941851
2015,2,2,4,30000002.065871
2015,2,2,5,29999997.4204797
2015,2,2,6,29999998.5667746
2015,2,1,7,1.87154670606616
2015,2,2,8,29999999.142426
2015,2,2,9,30000000.6443776
2015,2,1,10,0.931520103361172
2015,3,2,1,57000002.3964547
2015,3,2,2,56999999.0973443
2015,3,2,3,57000001.6862162
2015,3,2,4,56999997.0289373
2015,3,2,5,57000002.0992026
2015,3,2,6,57000001.6309973
2015,3,1,7,0
2015,3,2,8,57000000.6907418
2015,3,2,9,57000000.2638773
2015,3,1,10,1.85784173405145
2015,4,2,1,83999999.2471991
2015,4,2,2,83999999.2030947
2015,4,2,3,84000001.2140467
2015,4,2,4,83999998.5572396
2015,4,2,5,84000000.5925912
2015,4,2,6,83999999.7692234
2015,4,1,7,0
2015,4,2,8,83999999.0479045
2015,4,2,9,84000003.5076557
2015,4,1,10,0
2015,5,2,1,111000000.638013
2015,5,2,2,111000002.025862
2015,5,2,3,110999999.934897
2015,5,2,4,111000000.194405
2015,5,2,5,111000000.629411
2015,5,2,6,110999997.442504
2015,5,1,7,0.661771650805407
2015,5,2,8,110999998.726761
2015,5,2,9,110999996.619855
2015,5,1,10,3.00520666121356
2015,6,2,1,138000001.49036
2015,6,2,2,138000002.552886
2015,6,2,3,137999995.301666
2015,6,2,4,137999998.580496
2015,6,2,5,138000001.312252
2015,6,2,6,137999996.239827
2015,6,1,7,0
2015,6,2,8,137999999.444496
2015,6,2,9,138000000.551781
2015,6,1,10,0
2015,7,2,1,165000002.068038
2015,7,2,2,165000003.004807
2015,7,2,3,165000001.454139
2015,7,2,4,164999999.676624
2015,7,2,5,165000001.378851
2015,7,2,6,164999998.427111
2015,7,1,7,0.143740318411376
2015,7,2,8,165000002.934944
2015,7,2,9,164999997.807784
2015,7,1,10,0
2015,8,2,1,191999999.937971
2015,8,2,2,192000000.965362
2015,8,2,3,192000000.219116
2015,8,2,4,192000001.194723
2015,8,2,5,192000000.794352
2015,8,2,6,192000002.723608
2015,8,1,7,0.664959963187335
2015,8,2,8,191999997.823908
2015,8,2,9,191999999.570306
2015,8,1,10,0
2015,9,2,1,219000000.090765
2015,9,2,2,219000002.071249
2015,9,2,3,219000000.909071
2015,9,2,4,218999998.36931
2015,9,2,5,218999999.068803
2015,9,2,6,219000002.415416
2015,9,1,7,0.837264959635935
2015,9,2,8,219000002.867727
2015,9,2,9,218999997.800375
2015,9,1,10,0.726886668401319
2015,10,2,1,246000001.42608
2015,10,2,2,246000002.082447
2015,10,2,3,245999996.097842
2015,10,2,4,245999997.263252
2015,10,2,5,245999999.84331
2015,10,2,6,246000001.729498
2015,10,1,7,0
2015,10,2,8,245999999.529332
2015,10,2,9,246000000.123442
2015,10,1,10,0
2015,11,2,1,273000002.430962
2015,11,2,2,273000000.42832
2015,11,2,3,273000000.018113
2015,11,2,4,272999998.730549
2015,11,2,5,273000001.39018
2015,11,2,6,272999998.302146
2015,11,1,7,0.787847595628209
2015,11,2,8,272999999.386195
2015,11,2,9,272999998.181431
2015,11,1,10,2.76216006957185
2015,12,2,1,300000002.572945
2015,12,2,2,300000000.274314
2015,12,2,3,299999998.108662
2015,12,2,4,299999998.853839
2015,12,2,5,300000000.357407
2015,12,2,6,299999995.899184
2015,12,1,7,2.27259566381804
2015,12,2,8,300000000.778548
2015,12,2,9,300000000.004729
2015,12,1,10,0
2016,1,2,1,3999998.60596791
2016,1,1,2,0.9957362229119
2016,1,1,3,0
2016,1,2,4,4000000.92623762
2016,1,2,5,4000000.26756087
2016,1,1,6,0.742587250237195
2016,1,1,7,0
2016,1,2,8,4000002.0870075
2016,1,1,9,0
2016,1,1,10,0.653203794330836
2016,2,2,1,39999998.8866917
2016,2,1,2,0.594587198626699
2016,2,1,3,0
2016,2,2,4,40000001.5947337
2016,2,2,5,40000001.8475137
2016,2,1,6,1.55216239235887
2016,2,1,7,0
2016,2,2,8,39999999.7924231
2016,2,1,9,0
2016,2,1,10,1.65580837719473
2016,3,2,1,75999996.9115127
2016,3,1,2,0.463132423982452
2016,3,1,3,0
2016,3,2,4,75999999.8722485
2016,3,2,5,75999998.0110353
2016,3,1,6,0
2016,3,1,7,0.295006204909533
2016,3,2,8,76000003.4153519
2016,3,1,9,0.674213181745803
2016,3,1,10,2.46266141992201
2016,4,2,1,112000001.803528
2016,4,1,2,0
2016,4,1,3,0.826876720100749
2016,4,2,4,111999998.726553
2016,4,2,5,111999998.671607
2016,4,1,6,1.53189922653334
2016,4,1,7,0
2016,4,2,8,112000000.191273
2016,4,1,9,1.31358924926732
2016,4,1,10,0
2016,5,2,1,148000000.189787
2016,5,1,2,0
2016,5,1,3,0
2016,5,2,4,148000001.454747
2016,5,2,5,148000000.554798
2016,5,1,6,3.42425201782927
2016,5,1,7,0
2016,5,2,8,148000001.612161
2016,5,1,9,0
2016,5,1,10,0
2016,6,2,1,183999996.812992
2016,6,1,2,0.879841270011884
2016,6,1,3,1.1653067308307
2016,6,2,4,183999997.145864
2016,6,2,5,184000001.616875
2016,6,1,6,0
2016,6,1,7,0
2016,6,2,8,184000000.297016
2016,6,1,9,2.65457012499094
2016,6,1,10,1.90355770958962
2016,7,2,1,220000000.824232
2016,7,1,2,0
2016,7,1,3,1.09037871514172
2016,7,2,4,219999999.783759
2016,7,2,5,220000000.779441
2016,7,1,6,0
2016,7,1,7,0
2016,7,2,8,220000001.103663
2016,7,1,9,0
2016,7,1,10,3.18926005838976
2016,8,2,1,256000001.694555
2016,8,1,2,0
2016,8,1,3,1.26382206388642
2016,8,2,4,256000001.355936
2016,8,2,5,256000000.807569
2016,8,1,6,0
2016,8,1,7,0
2016,8,2,8,256000000.283559
2016,8,1,9,0.587181490272134
2016,8,1,10,0
2016,9,2,1,292000002.884666
2016,9,1,2,0
2016,9,1,3,0
2016,9,2,4,292000001.463764
2016,9,2,5,291999999.594217
2016,9,1,6,6.1174404663289
2016,9,1,7,0
2016,9,2,8,291999997.70381
2016,9,1,9,2.24946865109432
2016,9,1,10,0
2016,10,2,1,328000000.620173
2016,10,1,2,1.20315280876804
2016,10,1,3,0
2016,10,2,4,327999998.891767
2016,10,2,5,327999998.496437
2016,10,1,6,0
2016,10,1,7,1.34043132964357
2016,10,2,8,327999999.250471
2016,10,1,9,0
2016,10,1,10,2.46463975276802
2016,11,2,1,363999998.16438
2016,11,1,2,0
2016,11,1,3,0.88428502713958
2016,11,2,4,364000003.568021
2016,11,2,5,364000000.89703
2016,11,1,6,3.35368436725166
2016,11,1,7,3.88471509598983
2016,11,2,8,363999999.048093
2016,11,1,9,0
2016,11,1,10,1.90753827265833
2016,12,2,1,399999999.189397
2016,12,1,2,0
2016,12,1,3,0.216912710942203
2016,12,2,4,400000000.66028
2016,12,2,5,399999999.572933
2016,12,1,6,0
2016,12,1,7,0
2016,12,2,8,400000002.38185
2016,12,1,9,3.3122178582939
2016,12,1,10,0.449015958935153
2017,1,2,1,5000001.15322411
2017,1,2,2,4999997.68970151
2017,1,1,3,0.536566085652688
2017,1,2,4,5000001.02749139
2017,1,2,5,4999997.5106028
2017,1,2,6,4999997.4592783
2017,1,2,7,4999999.56397455
2017,1,2,8,4999998.97355841
2017,1,2,9,4999997.15145085
2017,1,2,10,5000000.68771567
2017,2,2,1,49999995.3023155
2017,2,2,2,49999999.2225629
2017,2,1,3,0
2017,2,2,4,49999996.2162882
2017,2,2,5,49999998.7020431
2017,2,2,6,49999999.8965351
2017,2,2,7,50000001.9538051
2017,2,2,8,50000000.9782913
2017,2,2,9,50000004.7300761
2017,2,2,10,49999998.7912543
2017,3,2,1,94999997.7459848
2017,3,2,2,94999997.8630274
2017,3,1,3,0
2017,3,2,4,94999997.7708109
2017,3,2,5,94999999.1795479
2017,3,2,6,95000001.8640114
2017,3,2,7,95000001.3267464
2017,3,2,8,94999994.7409217
2017,3,2,9,94999999.0060141
2017,3,2,10,95000003.179768
2017,4,2,1,140000000.275832
2017,4,2,2,140000000.017901
2017,4,1,3,0.521096646399309
2017,4,2,4,139999995.602157
2017,4,2,5,140000002.932954
2017,4,2,6,139999996.032725
2017,4,2,7,139999996.707184
2017,4,2,8,139999998.150298
2017,4,2,9,139999999.32681
2017,4,2,10,140000000.858836
2017,5,2,1,184999998.200221
2017,5,2,2,184999998.078222
2017,5,1,3,0
2017,5,2,4,184999999.403042
2017,5,2,5,184999999.412108
2017,5,2,6,184999998.388352
2017,5,2,7,184999995.267037
2017,5,2,8,184999995.509652
2017,5,2,9,185000002.749428
2017,5,2,10,185000002.585497
2017,6,2,1,229999999.077563
2017,6,2,2,229999997.727088
2017,6,1,3,0.151158510433875
2017,6,2,4,230000002.393735
2017,6,2,5,230000003.103831
2017,6,2,6,230000002.070282
2017,6,2,7,230000000.350968
2017,6,2,8,229999999.923215
2017,6,2,9,230000002.051604
2017,6,2,10,230000001.898013
2017,7,2,1,275000000.631817
2017,7,2,2,275000001.732018
2017,7,1,3,0
2017,7,2,4,274999997.754676
2017,7,2,5,275000002.074154
2017,7,2,6,274999995.953129
2017,7,2,7,274999998.236479
2017,7,2,8,274999998.349962
2017,7,2,9,275000004.211274
2017,7,2,10,274999997.125758
2017,8,2,1,319999999.222079
2017,8,2,2,320000003.213254
2017,8,1,3,0
2017,8,2,4,319999999.155138
2017,8,2,5,320000000.948913
2017,8,2,6,320000000.121377
2017,8,2,7,319999998.129741
2017,8,2,8,320000001.178399
2017,8,2,9,320000006.700609
2017,8,2,10,320000004.226087
2017,9,2,1,364999999.757765
2017,9,2,2,365000003.993563
2017,9,1,3,0
2017,9,2,4,364999999.239337
2017,9,2,5,364999997.046628
2017,9,2,6,365000003.502239
2017,9,2,7,365000000.830192
2017,9,2,8,365000002.772449
2017,9,2,9,364999999.641672
2017,9,2,10,364999998.537642
2017,10,2,1,410000000.627121
2017,10,2,2,409999997.695308
2017,10,1,3,0.640805303837594
2017,10,2,4,410000000.799822
2017,10,2,5,410000000.349467
2017,10,2,6,410000000.104072
2017,10,2,7,410000002.02936
2017,10,2,8,410000000.914486
2017,10,2,9,409999999.496621
2017,10,2,10,410000003.599088
2017,11,2,1,454999996.12269
2017,11,2,2,454999998.680388
2017,11,1,3,0
2017,11,2,4,455000000.156264
2017,11,2,5,454999999.242206
2017,11,2,6,455000001.098364
2017,11,2,7,455000000.043592
2017,11,2,8,454999997.122575
2017,11,2,9,454999998.508309
2017,11,2,10,455000002.522188
2017,12,2,1,500000000.085961
2017,12,2,2,500000003.122735
2017,12,1,3,2.48986877731138
2017,12,2,4,500000004.769321
2017,12,2,5,500000002.161509
2017,12,2,6,500000003.662117
2017,12,2,7,499999999.089642
2017,12,2,8,500000001.861874
2017,12,2,9,500000002.60944
2017,12,2,10,499999996.505881
2018,1,2,1,5999995.91531737
2018,1,2,2,6000003.23576296
2018,1,1,3,0
2018,1,2,4,6000001.76838188
2018,1,2,5,6000002.70444711
2018,1,2,6,6000002.49090682
2018,1,1,7,3.44314382550393
2018,1,2,8,6000004.66951373
2018,1,1,9,0
2018,1,2,10,5999998.45849298
2018,2,2,1,59999999.5719209
2018,2,2,2,59999999.2275002
2018,2,1,3,0
2018,2,2,4,60000002.2758686
2018,2,2,5,59999998.0098919
2018,2,2,6,60000002.2873298
2018,2,1,7,0.855457744822391
2018,2,2,8,59999999.4614592
2018,2,1,9,1.5301049210978
2018,2,2,10,60000000.4404497
2018,3,2,1,114000003.644455
2018,3,2,2,113999999.285981
2018,3,1,3,0
2018,3,2,4,114000000.462407
2018,3,2,5,114000002.226222
2018,3,2,6,113999999.641142
2018,3,1,7,1.00571745434074
2018,3,2,8,113999993.889297
2018,3,1,9,0
2018,3,2,10,113999994.227912
2018,4,2,1,168000000.133872
2018,4,2,2,167999996.753847
2018,4,1,3,0
2018,4,2,4,167999999.872999
2018,4,2,5,167999997.665691
2018,4,2,6,167999998.084715
2018,4,1,7,0
2018,4,2,8,167999998.962215
2018,4,1,9,2.25357492207032
2018,4,2,10,168000001.991853
2018,5,2,1,221999997.998982
2018,5,2,2,222000000.722678
2018,5,1,3,3.03643317697027
2018,5,2,4,222000000.784911
2018,5,2,5,221999997.852393
2018,5,2,6,221999996.946926
2018,5,1,7,2.84640824016478
2018,5,2,8,222000001.871963
2018,5,1,9,0.306849597687874
2018,5,2,10,221999998.79291
2018,6,2,1,275999997.916164
2018,6,2,2,276000002.591524
2018,6,1,3,0
2018,6,2,4,275999999.736331
2018,6,2,5,275999997.099122
2018,6,2,6,276000000.573771
2018,6,1,7,0
2018,6,2,8,276000002.127079
2018,6,1,9,0
2018,6,2,10,275999999.047235
2018,7,2,1,330000001.762267
2018,7,2,2,330000002.679881
2018,7,1,3,0
2018,7,2,4,330000000.858477
2018,7,2,5,329999998.635265
2018,7,2,6,330000002.052308
2018,7,1,7,1.90522404001694
2018,7,2,8,330000001.565634
2018,7,1,9,0
2018,7,2,10,330000005.53071
2018,8,2,1,383999999.763171
2018,8,2,2,383999999.214069
2018,8,1,3,0
2018,8,2,4,384000002.687222
2018,8,2,5,383999995.956666
2018,8,2,6,384000000.909838
2018,8,1,7,4.15131945819131
2018,8,2,8,383999999.562337
2018,8,1,9,0
2018,8,2,10,383999997.962809
2018,9,2,1,437999998.497634
2018,9,2,2,438000000.079544
2018,9,1,3,0
2018,9,2,4,437999997.370035
2018,9,2,5,438000002.720169
2018,9,2,6,438000004.54784
2018,9,1,7,0
2018,9,2,8,438000000.283708
2018,9,1,9,0
2018,9,2,10,438000001.783123
2018,10,2,1,492000000.851278
2018,10,2,2,492000000.072246
2018,10,1,3,4.54330227538685
2018,10,2,4,492000002.229083
2018,10,2,5,492000001.156326
2018,10,2,6,492000001.630005
2018,10,1,7,2.55983772181421
2018,10,2,8,492000000.054639
2018,10,1,9,0
2018,10,2,10,491999999.726239
2018,11,2,1,546000001.694875
2018,11,2,2,546000001.910362
2018,11,1,3,0
2018,11,2,4,545999999.562244
2018,11,2,5,545999997.608668
2018,11,2,6,545999999.895332
2018,11,1,7,0
2018,11,2,8,546000000.217696
2018,11,1,9,0.185586230186764
2018,11,2,10,546000000.840274
2018,12,2,1,600000003.743842
2018,12,2,2,599999999.20635
2018,12,1,3,0.0903322334087482
2018,12,2,4,599999999.376763
2018,12,2,5,599999999.577598
2018,12,2,6,600000002.40141
2018,12,1,7,0
2018,12,2,8,600000000.644906
2018,12,1,9,1.91913045362229
2018,12,2,10,600000001.986236
2019,1,2,1,6999998.72277614
2019,1,2,2,6999999.89229189
2019,1,2,3,7000002.09549
2019,1,2,4,6999999.52878044
2019,1,2,5,7000002.53835792
2019,1,2,6,7000001.31142682
2019,1,2,7,6999999.05940552
2019,1,2,8,6999997.60611369
2019,1,1,9,1.30405697982311
2019,1,2,10,7000000.65529641
2019,2,2,1,70000002.1469905
2019,2,2,2,70000002.2712901
2019,2,2,3,70000002.9619223
2019,2,2,4,69999996.5366961
2019,2,2,5,69999999.5789959
2019,2,2,6,70000001.5743897
2019,2,2,7,70000001.2830979
2019,2,2,8,70000000.9530986
2019,2,1,9,1.89900195062855
2019,2,2,10,69999999.7221464
2019,3,2,1,133000001.660514
2019,3,2,2,133000000.214891
2019,3,2,3,133000000.052318
2019,3,2,4,133000002.192234
2019,3,2,5,133000002.21549
2019,3,2,6,132999999.962692
2019,3,2,7,133000000.883017
2019,3,2,8,132999997.256708
2019,3,1,9,4.015671507934
2019,3,2,10,132999996.839904
2019,4,2,1,196000001.591023
2019,4,2,2,196000002.145632
2019,4,2,3,195999998.267739
2019,4,2,4,196000001.437101
2019,4,2,5,196000000.864165
2019,4,2,6,196000005.856665
2019,4,2,7,195999998.41442
2019,4,2,8,196000002.847005
2019,4,1,9,0.70394427231634
2019,4,2,10,196000000.467665
2019,5,2,1,259000000.960357
2019,5,2,2,259000000.26451
2019,5,2,3,259000001.431831
2019,5,2,4,258999999.595281
2019,5,2,5,259000000.940847
2019,5,2,6,258999998.858137
2019,5,2,7,258999999.529147
2019,5,2,8,258999997.134962
2019,5,1,9,0
2019,5,2,10,258999998.992638
2019,6,2,1,321999998.857896
2019,6,2,2,321999998.054495
2019,6,2,3,321999999.444714
2019,6,2,4,321999997.844491
2019,6,2,5,321999998.97658
2019,6,2,6,321999999.654406
2019,6,2,7,322000002.525836
2019,6,2,8,322000003.109816
2019,6,1,9,0
2019,6,2,10,321999998.670911
2019,7,2,1,384999997.649899
2019,7,2,2,385000002.373893
2019,7,2,3,384999998.078233
2019,7,2,4,384999998.354788
2019,7,2,5,385000000.498431
2019,7,2,6,384999998.187508
2019,7,2,7,385000002.8456
2019,7,2,8,385000001.064297
2019,7,1,9,0.00115710970353407
2019,7,2,10,384999999.035122
2019,8,2,1,448000000.489592
2019,8,2,2,447999999.612381
2019,8,2,3,448000000.688226
2019,8,2,4,448000000.276842
2019,8,2,5,447999996.695004
2019,8,2,6,448000001.305584
2019,8,2,7,448000001.978991
2019,8,2,8,448000002.19211
2019,8,1,9,1.37260618391812
2019,8,2,10,448000001.08703
2019,9,2,1,510999999.508416
2019,9,2,2,511000001.346376
2019,9,2,3,510999995.38593
2019,9,2,4,511000004.26562
2019,9,2,5,510999997.335075
2019,9,2,6,510999995.778823
2019,9,2,7,511000001.584566
2019,9,2,8,510999997.893952
2019,9,1,9,0
2019,9,2,10,510999999.242772
2019,10,2,1,573999998.138934
2019,10,2,2,574000001.638546
2019,10,2,3,573999998.517897
2019,10,2,4,573999997.876639
2019,10,2,5,573999999.531618
2019,10,2,6,574000000.076301
2019,10,2,7,573999998.536432
2019,10,2,8,574000000.524199
2019,10,1,9,0
2019,10,2,10,574000005.380102
2019,11,2,1,636999999.431915
2019,11,2,2,637000001.874492
2019,11,2,3,636999998.767259
2019,11,2,4,637000000.94717
2019,11,2,5,636999994.88685
2019,11,2,6,636999996.532177
2019,11,2,7,637000003.170088
2019,11,2,8,636999996.064815
2019,11,1,9,0
2019,11,2,10,637000000.316081
2019,12,2,1,700000001.793729
2019,12,2,2,700000002.911624
2019,12,2,3,700000002.075754
2019,12,2,4,700000003.017745
2019,12,2,5,700000000.992207
2019,12,2,6,700000000.979778
2019,12,2,7,699999998.104794
2019,12,2,8,699999997.594953
2019,12,1,9,0.524683080776766
2019,12,2,10,699999997.415661
2020,1,2,1,8000000.89759198
2020,1,1,2,1.6879584416554
2020,1,1,3,0
2020,1,2,4,8000000.58023453
2020,1,2,5,8000001.95030845
2020,1,2,6,8000001.14523484
2020,1,2,7,8000000.8720142
2020,1,2,8,8000000.95028008
2020,1,2,9,7999999.14507899
2020,1,2,10,8000000.22588891
2020,2,2,1,80000001.8784184
2020,2,1,2,0
2020,2,1,3,1.83239531416565
2020,2,2,4,79999997.6228585
2020,2,2,5,80000001.0546736
2020,2,2,6,79999995.8397848
2020,2,2,7,79999999.7685836
2020,2,2,8,80000001.5905987
2020,2,2,9,80000000.7421809
2020,2,2,10,80000002.0345932
2020,3,2,1,152000003.834312
2020,3,1,2,0
2020,3,1,3,0
2020,3,2,4,152000001.485123
2020,3,2,5,152000000.997405
2020,3,2,6,152000001.0414
2020,3,2,7,151999998.813569
2020,3,2,8,151999999.211985
2020,3,2,9,152000002.776564
2020,3,2,10,151999999.482652
2020,4,2,1,223999999.034176
2020,4,1,2,0
2020,4,1,3,0
2020,4,2,4,223999999.143874
2020,4,2,5,224000001.693079
2020,4,2,6,224000000.218797
2020,4,2,7,223999999.189683
2020,4,2,8,223999997.566468
2020,4,2,9,224000000.986015
2020,4,2,10,223999999.426173
2020,5,2,1,295999999.210352
2020,5,1,2,0
2020,5,1,3,0
2020,5,2,4,296000000.472377
2020,5,2,5,296000000.426488
2020,5,2,6,295999999.207694
2020,5,2,7,295999996.568322
2020,5,2,8,295999998.91186
2020,5,2,9,296000002.30495
2020,5,2,10,295999998.22756
2020,6,2,1,368000002.476216
2020,6,1,2,0
